date,hour,count,weather_type,temperature,humidity,wind_speed
01/01/2011,01,1,2,2.2,0.82,0.0
01/01/2011,13,4,4,14.0,0.77,18.5
01/01/2011,14,1,4,12.8,0.77,20.4
01/01/2011,15,2,4,11.7,0.83,20.4
01/01/2011,16,2,4,12.0,0.82,20.4
01/01/2011,19,1,4,10.0,0.94,20.4
01/02/2011,14,2,9,8.3,0.8,11.1
01/02/2011,22,1,2,2.2,0.46,11.1
01/03/2011,08,4,2,-1.1,0.45,25.9
01/03/2011,09,2,2,0.0,0.44,16.7
01/03/2011,11,2,1,2.2,0.36,20.4
01/03/2011,12,2,1,3.3,0.35,18.5
01/03/2011,14,1,1,4.4,0.31,16.7
01/03/2011,16,4,1,3.3,0.3,14.8
01/03/2011,17,6,1,2.8,0.33,7.4
01/03/2011,18,8,2,1.1,0.48,0.0
01/03/2011,19,1,1,0.6,0.5,7.4
01/03/2011,21,1,1,-1.7,0.67,9.3
01/04/2011,08,4,0,-1.1,0.66,14.8
01/04/2011,09,3,4,-0.6,0.67,22.2
01/04/2011,11,1,1,2.2,0.52,11.1
01/04/2011,12,5,1,3.3,0.55,13.0
01/04/2011,13,2,1,4.4,0.51,14.8
01/04/2011,14,2,1,5.0,0.51,16.7
01/04/2011,16,2,1,5.0,0.49,14.8
01/04/2011,17,7,1,3.9,0.49,13.0
01/04/2011,18,4,2,3.3,0.48,7.4
01/04/2011,19,1,2,3.3,0.48,7.4
01/04/2011,20,3,2,1.7,0.64,0.0
01/04/2011,21,1,1,1.7,0.67,5.6
01/04/2011,22,1,1,1.1,0.7,5.6
01/05/2011,01,1,1,3.9,0.46,14.8
01/05/2011,08,3,0,1.7,0.4,22.2
01/05/2011,09,1,0,2.2,0.39,22.2
01/05/2011,10,1,1,3.9,0.33,22.2
01/05/2011,12,4,0,5.0,0.32,20.4
01/05/2011,14,6,1,6.1,0.3,13.0
01/05/2011,15,1,1,5.6,0.31,5.6
01/05/2011,16,1,1,2.8,0.39,13.0
01/05/2011,17,8,1,2.8,0.39,9.3
01/05/2011,18,6,0,2.8,0.39,7.4
01/05/2011,19,2,0,1.7,0.48,11.1
01/05/2011,20,1,0,1.1,0.5,13.0
01/05/2011,21,1,1,0.0,0.56,9.3
01/06/2011,00,2,2,-1.1,0.64,0.0
01/06/2011,08,3,4,0.0,0.52,0.0
01/06/2011,09,3,0,1.1,0.46,0.0
01/06/2011,11,2,1,3.9,0.36,5.6
01/06/2011,12,1,1,3.9,0.36,7.4
01/06/2011,13,1,2,5.0,0.35,11.1
01/06/2011,14,4,1,5.0,0.35,11.1
01/06/2011,15,1,1,3.9,0.38,11.1
01/06/2011,16,3,1,2.2,0.52,11.1
01/06/2011,17,5,1,1.7,0.52,9.3
01/06/2011,18,3,0,1.7,0.57,5.6
01/06/2011,19,3,0,1.1,0.52,11.1
01/06/2011,20,2,4,1.7,0.57,14.8
01/06/2011,21,1,4,1.7,0.54,18.5
01/06/2011,22,2,4,1.1,0.59,13.0
01/06/2011,23,1,3,1.1,0.61,14.8
01/07/2011,07,4,0,1.1,0.5,16.7
01/07/2011,08,10,0,1.1,0.48,20.4
01/07/2011,09,4,2,1.7,0.4,22.2
01/07/2011,11,2,4,1.1,0.37,16.7
01/07/2011,12,2,4,1.1,0.37,18.5
01/07/2011,13,5,4,1.1,0.4,16.7
01/07/2011,14,1,4,0.6,0.4,11.1
01/07/2011,15,1,4,1.1,0.38,11.1
01/07/2011,16,2,4,0.6,0.4,0.0
01/07/2011,17,7,0,0.6,0.43,5.6
01/07/2011,18,6,0,-0.6,0.52,5.6
01/07/2011,21,1,4,0.0,0.45,11.1
01/07/2011,22,1,4,0.0,0.48,9.3
01/08/2011,00,1,3,0.0,0.51,9.3
01/08/2011,16,1,0,-1.1,0.38,37.0
01/08/2011,18,1,1,-2.2,0.38,16.7
01/08/2011,21,1,1,-3.3,0.39,25.9
01/09/2011,02,2,2,-4.4,0.48,27.8
01/09/2011,11,1,1,0.0,0.38,29.6
01/09/2011,16,2,1,0.0,0.37,25.9
01/09/2011,17,1,1,-0.6,0.4,22.2
01/09/2011,20,1,2,-1.7,0.45,27.8
01/09/2011,21,1,2,-2.2,0.47,20.4
01/09/2011,22,1,2,-2.8,0.49,13.0
01/10/2011,08,2,4,-2.2,0.51,16.7
01/10/2011,10,1,4,-1.1,0.47,18.5
01/10/2011,13,2,4,1.1,0.42,14.8
01/10/2011,14,1,4,1.1,0.42,14.8
01/10/2011,15,1,0,1.1,0.42,9.3
01/10/2011,16,1,0,1.1,0.42,7.4
01/10/2011,17,2,0,0.6,0.43,14.8
01/10/2011,18,8,0,-0.6,0.47,11.1
01/10/2011,19,1,1,-1.1,0.51,11.1
01/10/2011,20,1,1,-1.7,0.56,13.0
01/11/2011,00,1,0,-2.2,0.58,11.1
01/11/2011,08,4,4,0.0,0.52,7.4
01/11/2011,09,3,4,0.0,0.51,11.1
01/11/2011,11,3,3,1.0,0.52,9.3
01/11/2011,12,1,4,1.0,0.52,7.4
01/11/2011,13,2,3,1.0,0.56,0.0
01/11/2011,14,5,4,-1.0,0.8,5.6
