date,hour,label,count,weather_type,temperature,humidity,wind_speed
01/01/2011,01,5,1,2,2.2,0.82,0.0
01/01/2011,13,5,4,4,14.0,0.77,18.5
01/01/2011,14,5,1,4,12.8,0.77,20.4
01/01/2011,15,5,2,4,11.7,0.83,20.4
01/01/2011,16,5,2,4,12.0,0.82,20.4
01/01/2011,19,5,1,4,10.0,0.94,20.4
01/01/2012,00,5,19,1,6.7,0.76,0.0
01/01/2012,01,5,33,1,6.1,0.82,0.0
01/01/2012,02,5,23,1,5.0,0.82,5.6
01/01/2012,03,5,9,2,5.0,0.82,7.4
01/01/2012,04,5,4,2,4.4,0.89,9.3
01/01/2012,05,5,4,2,4.4,0.89,11.1
01/01/2012,07,5,2,2,3.9,0.93,7.4
01/01/2012,08,5,3,1,5.6,0.85,7.4
01/01/2012,09,5,18,1,7.8,0.76,9.3
01/01/2012,10,5,25,1,10.6,0.63,18.5
01/01/2012,11,5,40,0,11.7,0.59,18.5
01/01/2012,12,5,76,0,12.8,0.55,20.4
01/01/2012,13,5,100,0,13.9,0.53,20.4
01/01/2012,14,5,111,4,12.8,0.57,20.4
01/01/2012,15,5,117,0,15.0,0.48,13.0
01/01/2012,16,5,87,4,15.0,0.48,11.1
01/01/2012,17,5,55,9,14.0,0.59,16.7
01/01/2012,18,5,39,4,13.3,0.62,20.4
01/01/2012,19,5,39,4,13.3,0.67,16.7
01/01/2012,20,5,30,4,13.9,0.67,13.0
01/01/2012,21,5,24,0,14.0,0.55,27.8
01/01/2012,22,5,30,1,11.1,0.4,31.5
01/01/2012,23,5,16,1,9.4,0.43,27.8
01/01/2013,00,5,13,4,3.3,0.68,11.1
01/01/2013,01,5,41,0,4.4,0.58,11.1
01/01/2013,02,5,44,4,4.4,0.58,5.6
01/01/2013,03,5,11,4,3.9,0.62,11.1
01/01/2013,04,5,4,4,4.4,0.55,0.0
01/01/2013,05,5,1,4,4.4,0.6,0.0
01/01/2013,06,5,2,4,3.9,0.67,0.0
01/01/2013,07,5,1,4,3.9,0.73,7.4
01/01/2013,08,5,5,4,4.0,0.65,7.4
01/01/2013,09,5,11,4,7.0,0.46,0.0
01/01/2013,10,5,10,4,6.7,0.49,7.4
01/01/2013,11,5,36,4,6.7,0.51,11.1
01/01/2013,12,5,57,4,7.2,0.52,11.1
01/01/2013,13,5,44,4,7.2,0.52,11.1
01/01/2013,14,5,75,4,7.2,0.52,13.0
01/01/2013,15,5,68,4,7.2,0.52,9.3
01/01/2013,16,5,63,4,6.7,0.53,7.4
01/01/2013,17,5,68,4,7.2,0.52,13.0
01/01/2013,18,5,43,4,6.1,0.56,20.4
01/01/2013,19,5,41,4,5.6,0.58,18.5
01/01/2013,20,5,27,4,5.6,0.58,22.2
01/01/2013,21,5,25,4,5.6,0.58,18.5
01/01/2013,22,5,35,4,5.0,0.6,18.5
01/01/2013,23,5,10,4,4.4,0.63,7.4
01/01/2014,00,5,24,2,1.1,0.46,0.0
